authors,average_rating
"Anonymous, Lane T. Dennis, Wayne A. Grudem",4.76
Bill Watterson,4.710833333333333
"Anonymous, Ronald A. Beers, Ronald A. Beers",4.67
"Neil Gaiman, Mike Dringenberg, Chris Bachalo, Michael Zulli, Kelly Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Parkhouse, Daniel Vozzo, Lee Loughridge, Steve Oliff, Todd Klein, Dave McKean, Sam Kieth",4.65
Eiichirō Oda,4.63
Hafez,4.63
James E. Talmage,4.63
Angie Thomas,4.62
Gordon B. Hinckley,4.61
John   Williams,4.61
