id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
368,119324,119324,1570229,55,679879250,9780679879250.0,Philip Pullman,1997.0,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng,4.1,242503,270785,6139,3905,11486,47802,96998,110594,https://images.gr-assets.com/books/1451271814m/119324.jpg,https://images.gr-assets.com/books/1451271814s/119324.jpg
480,18122,18122,1774510,42,440238153,9780440238160.0,Philip Pullman,2000.0,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng,4.06,192315,217610,6693,4739,11883,39131,70648,91209,https://images.gr-assets.com/books/1329189152m/18122.jpg,https://images.gr-assets.com/books/1329189152s/18122.jpg
937,18116,18116,1943518,81,440238609,9780440238610.0,Philip Pullman,2000.0,His Dark Materials,His Dark Materials (His Dark Materials #1-3),eng,4.25,88227,102040,4499,1672,3744,13475,31455,51694,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3101,269322,269322,11775,5,439224063,9780439224060.0,"Edgar Allan Poe, Philip Pullman",1845.0,The Raven and Other Poems,The Raven and other poems,en-US,4.3,34428,34591,288,301,786,4906,10922,17676,https://images.gr-assets.com/books/1297913274m/269322.jpg,https://images.gr-assets.com/books/1297913274s/269322.jpg
4529,13554713,13554713,21596076,36,067002497X,9780670024970.0,"Philip Pullman, Jacob Grimm, Wilhelm Grimm",2012.0,Grimm Tales for Young and Old,Fairy Tales from the Brothers Grimm: A New English Version,eng,4.11,17219,18829,812,290,669,3493,6683,7694,https://images.gr-assets.com/books/1339554952m/13554713.jpg,https://images.gr-assets.com/books/1339554952s/13554713.jpg
7655,114982,114982,1128656,80,394895894,9780394895900.0,Philip Pullman,1985.0,The Ruby in the Smoke,"The Ruby in the Smoke (Sally Lockhart, #1)",en-US,3.75,16214,19279,1129,276,1204,5713,7926,4160,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9152,531197,531197,3524192,33,375828192,9780375828200.0,"Philip Pullman, John Lawrence",2003.0,Lyra's Oxford,"Lyra's Oxford (His Dark Materials, #3.5)",en-US,3.52,12665,14684,702,201,1473,5897,4756,2357,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
570,285092,285092,2961887,136,1573225517,9781573225520.0,Nick Hornby,1995.0,High Fidelity,High Fidelity,eng,3.94,134849,150929,4792,1587,6973,34435,63435,44499,https://images.gr-assets.com/books/1327928082m/285092.jpg,https://images.gr-assets.com/books/1327928082s/285092.jpg
3906,43928,43928,14597342,71,385340605,9780385340600.0,Harlan Coben,1995.0,Deal Breaker,Deal Breaker (Myron Bolitar #1),eng,3.94,28921,34124,1851,511,1181,7784,14873,9775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9481,127567,127567,1104950,42,345419383,9780345419380.0,Anne McCaffrey,1994.0,The Dolphins of Pern,"The Dolphins of Pern (Pern, #13)",eng,3.94,12938,14529,197,117,816,3767,4925,4904,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
